Time,water_flow_lps
2022-03-24 04:00:00+01:00,100.75
2022-03-24 05:00:00+01:00,100.91
2022-03-24 06:00:00+01:00,101.55
2022-03-24 07:00:00+01:00,102.31
2022-03-24 08:00:00+01:00,97.22
2022-03-24 09:00:00+01:00,51.53
2022-03-24 10:00:00+01:00,47.98
2022-03-24 11:00:00+01:00,24.27
2022-03-24 12:00:00+01:00,24.28
2022-03-24 13:00:00+01:00,24.28
2022-03-24 14:00:00+01:00,24.28
2022-03-24 15:00:00+01:00,24.26
2022-03-24 16:00:00+01:00,24.26
2022-03-24 17:00:00+01:00,24.26
2022-03-24 18:00:00+01:00,24.27
2022-03-24 19:00:00+01:00,24.26
2022-03-24 20:00:00+01:00,24.26
2022-03-24 21:00:00+01:00,24.27
2022-03-24 22:00:00+01:00,28.38
2022-03-24 23:00:00+01:00,56.77
2022-03-25 00:00:00+01:00,75.33
2022-03-25 01:00:00+01:00,92.21
2022-03-25 02:00:00+01:00,101.27
2022-03-25 03:00:00+01:00,100.53
2022-03-25 04:00:00+01:00,99.0
2022-03-25 05:00:00+01:00,99.2
2022-03-25 06:00:00+01:00,101.22
2022-03-25 07:00:00+01:00,104.23
2022-03-25 08:00:00+01:00,104.6
2022-03-25 09:00:00+01:00,105.17
2022-03-25 10:00:00+01:00,104.03
2022-03-25 11:00:00+01:00,103.93
2022-03-25 12:00:00+01:00,103.87
2022-03-25 13:00:00+01:00,104.02
2022-03-25 14:00:00+01:00,103.45
2022-03-25 15:00:00+01:00,102.81
2022-03-25 16:00:00+01:00,102.9
2022-03-25 17:00:00+01:00,102.97
2022-03-25 18:00:00+01:00,103.12
2022-03-25 19:00:00+01:00,103.32
2022-03-25 20:00:00+01:00,103.13
2022-03-25 21:00:00+01:00,103.26
2022-03-25 22:00:00+01:00,102.93
2022-03-25 23:00:00+01:00,102.79
2022-03-26 00:00:00+01:00,102.72
2022-03-26 01:00:00+01:00,102.36
2022-03-26 02:00:00+01:00,102.02
2022-03-26 03:00:00+01:00,101.42
2022-03-26 04:00:00+01:00,101.9
2022-03-26 05:00:00+01:00,101.57
2022-03-26 06:00:00+01:00,102.26
2022-03-26 07:00:00+01:00,103.28
2022-03-26 08:00:00+01:00,104.02
2022-03-26 09:00:00+01:00,104.01
2022-03-26 10:00:00+01:00,103.9
2022-03-26 11:00:00+01:00,103.97
2022-03-26 12:00:00+01:00,103.56
2022-03-26 13:00:00+01:00,103.6
2022-03-26 14:00:00+01:00,103.62
2022-03-26 15:00:00+01:00,103.48
2022-03-26 16:00:00+01:00,103.55
2022-03-26 17:00:00+01:00,103.52
2022-03-26 18:00:00+01:00,103.59
2022-03-26 19:00:00+01:00,103.51
2022-03-26 20:00:00+01:00,103.45
2022-03-26 21:00:00+01:00,103.12
2022-03-26 22:00:00+01:00,102.92
2022-03-26 23:00:00+01:00,102.68
2022-03-27 00:00:00+01:00,101.94
2022-03-27 01:00:00+01:00,101.94
2022-03-27 03:00:00+02:00,101.53
2022-03-27 04:00:00+02:00,101.48
2022-03-27 05:00:00+02:00,101.43
2022-03-27 06:00:00+02:00,101.59
2022-03-27 07:00:00+02:00,102.38
2022-03-27 08:00:00+02:00,102.39
2022-03-27 09:00:00+02:00,103.14
2022-03-27 10:00:00+02:00,103.58
2022-03-27 11:00:00+02:00,103.62
2022-03-27 12:00:00+02:00,103.52
2022-03-27 13:00:00+02:00,103.42
2022-03-27 14:00:00+02:00,103.3
2022-03-27 15:00:00+02:00,103.28
2022-03-27 16:00:00+02:00,103.13
2022-03-27 17:00:00+02:00,103.18
2022-03-27 18:00:00+02:00,103.19
2022-03-27 19:00:00+02:00,102.86
2022-03-27 20:00:00+02:00,102.15
2022-03-27 21:00:00+02:00,102.35
2022-03-27 22:00:00+02:00,101.75
2022-03-27 23:00:00+02:00,101.46
2022-03-28 00:00:00+02:00,101.1
2022-03-28 01:00:00+02:00,100.52
2022-03-28 02:00:00+02:00,100.42
2022-03-28 03:00:00+02:00,100.51
2022-03-28 04:00:00+02:00,100.56
2022-03-28 05:00:00+02:00,100.44
2022-03-28 06:00:00+02:00,100.97
2022-03-28 07:00:00+02:00,102.35
2022-03-28 08:00:00+02:00,102.5
2022-03-28 09:00:00+02:00,102.93
2022-03-28 10:00:00+02:00,104.23
2022-03-28 11:00:00+02:00,104.31
2022-03-28 12:00:00+02:00,104.35
2022-03-28 13:00:00+02:00,104.45
2022-03-28 14:00:00+02:00,105.0
2022-03-28 15:00:00+02:00,104.86
2022-03-28 16:00:00+02:00,104.89
2022-03-28 17:00:00+02:00,105.44
2022-03-28 18:00:00+02:00,105.25
2022-03-28 19:00:00+02:00,105.03
2022-03-28 20:00:00+02:00,105.04
2022-03-28 21:00:00+02:00,105.45
2022-03-28 22:00:00+02:00,105.34
2022-03-28 23:00:00+02:00,105.26
2022-03-29 00:00:00+02:00,105.36
2022-03-29 01:00:00+02:00,105.47
2022-03-29 02:00:00+02:00,105.14
2022-03-29 03:00:00+02:00,105.18
2022-03-29 05:00:00+02:00,105.34
2022-03-29 06:00:00+02:00,106.09
2022-03-29 07:00:00+02:00,107.26
2022-03-29 08:00:00+02:00,95.31
2022-03-29 09:00:00+02:00,24.27
2022-03-29 10:00:00+02:00,24.26
2022-03-29 11:00:00+02:00,24.26
2022-03-29 12:00:00+02:00,24.26
2022-03-29 13:00:00+02:00,24.26
2022-03-29 14:00:00+02:00,24.26
2022-03-29 15:00:00+02:00,24.25
2022-03-29 16:00:00+02:00,34.37
2022-03-29 17:00:00+02:00,59.21
2022-03-29 18:00:00+02:00,66.68
2022-03-29 19:00:00+02:00,73.78
2022-03-29 20:00:00+02:00,81.92
2022-03-29 21:00:00+02:00,98.77
2022-03-29 22:00:00+02:00,103.74
2022-03-29 23:00:00+02:00,103.0
2022-03-30 00:00:00+02:00,102.97
2022-03-30 01:00:00+02:00,102.59
2022-03-30 02:00:00+02:00,102.58
2022-03-30 03:00:00+02:00,102.55
2022-03-30 04:00:00+02:00,102.45
2022-03-30 05:00:00+02:00,102.52
2022-03-30 06:00:00+02:00,102.88
2022-03-30 07:00:00+02:00,102.67
2022-03-30 08:00:00+02:00,101.46
2022-03-30 09:00:00+02:00,101.48
2022-03-30 10:00:00+02:00,101.73
2022-03-30 11:00:00+02:00,101.85
2022-03-30 12:00:00+02:00,102.03
2022-03-30 13:00:00+02:00,102.11
2022-03-30 14:00:00+02:00,101.95
2022-03-30 15:00:00+02:00,101.86
2022-03-30 16:00:00+02:00,101.87
2022-03-30 17:00:00+02:00,101.84
2022-03-30 18:00:00+02:00,102.08
2022-03-30 19:00:00+02:00,101.95
2022-03-30 20:00:00+02:00,101.68
2022-03-30 21:00:00+02:00,101.64
2022-03-30 22:00:00+02:00,101.51
2022-03-30 23:00:00+02:00,101.29
2022-03-31 00:00:00+02:00,101.0
2022-03-31 01:00:00+02:00,100.84
2022-03-31 02:00:00+02:00,100.85
2022-03-31 03:00:00+02:00,100.82
2022-03-31 04:00:00+02:00,100.38
